full_text,text_clean,token,stop,stemmed,untokenize_clean,label
Prabowo - Gibran seakan lupa bahwa rakyat Jawa Tengah menghargai kejujuran lebih dari sekadar janji kosong @cepe_mtps  https://t.co/1iKNanOoW1,prabowo gibran seakan lupa bahwa rakyat jawa tengah menghargai kejujuran lebih dari sekadar janji kosong,"['prabowo', 'gibran', 'seakan', 'lupa', 'bahwa', 'rakyat', 'jawa', 'tengah', 'menghargai', 'kejujuran', 'lebih', 'dari', 'sekadar', 'janji', 'kosong']","['prabowo', 'gibran', 'seakan', 'lupa', 'rakyat', 'jawa', 'tengah', 'menghargai', 'kejujuran', 'lebih', 'sekadar', 'janji', 'kosong']","['prabowo', 'gibran', 'akan', 'lupa', 'rakyat', 'jawa', 'tengah', 'harga', 'jujur', 'lebih', 'sekadar', 'janji', 'kosong']",prabowo gibran akan lupa rakyat jawa tengah harga jujur lebih sekadar janji kosong,negatif
Prabowo - Gibran  sebaiknya fokus pada visi nyata daripada menciptakan cerita karangan @Cutamine  https://t.co/wlj9hGBPl1,prabowo gibran sebaiknya fokus pada visi nyata daripada menciptakan cerita karangan,"['prabowo', 'gibran', 'sebaiknya', 'fokus', 'pada', 'visi', 'nyata', 'daripada', 'menciptakan', 'cerita', 'karangan']","['prabowo', 'gibran', 'sebaiknya', 'fokus', 'visi', 'nyata', 'menciptakan', 'cerita', 'karangan']","['prabowo', 'gibran', 'baik', 'fokus', 'visi', 'nyata', 'cipta', 'cerita', 'karang']",prabowo gibran baik fokus visi nyata cipta cerita karang,negatif
Ganjar - Mahfud adalah harapan rakyat Jawa Tengah yang tidak terpengaruh oleh drama politik Prabowo - Gibran @cintaayahgepinn  https://t.co/QLXIXF47Kw,ganjar mahfud adalah harapan rakyat jawa tengah yang tidak terpengaruh oleh drama politik prabowo gibran,"['ganjar', 'mahfud', 'adalah', 'harapan', 'rakyat', 'jawa', 'tengah', 'yang', 'tidak', 'terpengaruh', 'oleh', 'drama', 'politik', 'prabowo', 'gibran']","['ganjar', 'mahfud', 'harapan', 'rakyat', 'jawa', 'tengah', 'terpengaruh', 'drama', 'politik', 'prabowo', 'gibran']","['ganjar', 'mahfud', 'harap', 'rakyat', 'jawa', 'tengah', 'pengaruh', 'drama', 'politik', 'prabowo', 'gibran']",ganjar mahfud harap rakyat jawa tengah pengaruh drama politik prabowo gibran,negatif
Pemuda Asal Kota Malang merilis lagu untuk pasangan Prabowo Subianto - Gibran  Simak lagu seutuhnya  👇👇👇  https://t.co/xgxcfyh8b1 ,pemuda asal kota malang merilis lagu untuk pasangan prabowo subianto gibran simak lagu seutuhnya,"['pemuda', 'asal', 'kota', 'malang', 'merilis', 'lagu', 'untuk', 'pasangan', 'prabowo', 'subianto', 'gibran', 'simak', 'lagu', 'seutuhnya']","['pemuda', 'asal', 'kota', 'malang', 'merilis', 'lagu', 'pasangan', 'prabowo', 'subianto', 'gibran', 'simak', 'lagu', 'seutuhnya']","['pemuda', 'asal', 'kota', 'malang', 'rilis', 'lagu', 'pasang', 'prabowo', 'subianto', 'gibran', 'simak', 'lagu', 'utuh']",pemuda asal kota malang rilis lagu pasang prabowo subianto gibran simak lagu utuh,positif
Warga Wadas tidak akan terlalu mudah terpikat oleh trik politik Prabowo - Gibran  karena mereka menghargai kejujuran @giovanha_o7  https://t.co/qdoyysrNnQ,warga wadas tidak akan terlalu mudah terpikat oleh trik politik prabowo gibran karena mereka menghargai kejujuran,"['warga', 'wadas', 'tidak', 'akan', 'terlalu', 'mudah', 'terpikat', 'oleh', 'trik', 'politik', 'prabowo', 'gibran', 'karena', 'mereka', 'menghargai', 'kejujuran']","['warga', 'wadas', 'terlalu', 'mudah', 'terpikat', 'trik', 'politik', 'prabowo', 'gibran', 'menghargai', 'kejujuran']","['warga', 'wadas', 'terlalu', 'mudah', 'pikat', 'trik', 'politik', 'prabowo', 'gibran', 'harga', 'jujur']",warga wadas terlalu mudah pikat trik politik prabowo gibran harga jujur,negatif
Jangan biarkan dongeng Prabowo - Gibran merusak citra politik yang seharusnya bermoral @AA4Twit  https://t.co/nrFvedPM9h,jangan biarkan dongeng prabowo gibran merusak citra politik yang seharusnya bermoral,"['jangan', 'biarkan', 'dongeng', 'prabowo', 'gibran', 'merusak', 'citra', 'politik', 'yang', 'seharusnya', 'bermoral']","['jangan', 'biarkan', 'dongeng', 'prabowo', 'gibran', 'merusak', 'citra', 'politik', 'bermoral']","['jangan', 'biar', 'dongeng', 'prabowo', 'gibran', 'rusak', 'citra', 'politik', 'moral']",jangan biar dongeng prabowo gibran rusak citra politik moral,negatif
Keberanian Prabowo-Gibran untuk menghadapi tantangan menjadi inspirasi bagi masyarakat Surabaya yang juga berjuang dalam kehidupan sehari-hari. @faridwawaaa  https://t.co/vute4WMjZK,keberanian prabowogibran untuk menghadapi tantangan menjadi inspirasi bagi masyarakat surabaya yang juga berjuang dalam kehidupan seharihari,"['keberanian', 'prabowogibran', 'untuk', 'menghadapi', 'tantangan', 'menjadi', 'inspirasi', 'bagi', 'masyarakat', 'surabaya', 'yang', 'juga', 'berjuang', 'dalam', 'kehidupan', 'seharihari']","['keberanian', 'prabowogibran', 'menghadapi', 'tantangan', 'menjadi', 'inspirasi', 'masyarakat', 'surabaya', 'berjuang', 'kehidupan', 'seharihari']","['berani', 'prabowogibran', 'hadap', 'tantang', 'jadi', 'inspirasi', 'masyarakat', 'surabaya', 'juang', 'hidup', 'seharihari']",berani prabowogibran hadap tantang jadi inspirasi masyarakat surabaya juang hidup seharihari,positif
Pembohongan Prabowo - Gibran terkait dukungan Wadas di Pilpres 2024 hanya menggambarkan ketidakjujuran dalam mendapatkan dukungan rakyat @apisspikul  https://t.co/ph6cxhCAQt,pembohongan prabowo gibran terkait dukungan wadas di pilpres hanya menggambarkan ketidakjujuran dalam mendapatkan dukungan rakyat,"['pembohongan', 'prabowo', 'gibran', 'terkait', 'dukungan', 'wadas', 'di', 'pilpres', 'hanya', 'menggambarkan', 'ketidakjujuran', 'dalam', 'mendapatkan', 'dukungan', 'rakyat']","['pembohongan', 'prabowo', 'gibran', 'terkait', 'dukungan', 'wadas', 'pilpres', 'menggambarkan', 'ketidakjujuran', 'mendapatkan', 'dukungan', 'rakyat']","['bohong', 'prabowo', 'gibran', 'kait', 'dukung', 'wadas', 'pilpres', 'gambar', 'ketidakjujuran', 'dapat', 'dukung', 'rakyat']",bohong prabowo gibran kait dukung wadas pilpres gambar ketidakjujuran dapat dukung rakyat,negatif
Kualitas Prabowo dan Gibran rendah  rakyat jangan mau dipermainkan @Santynuryanti3 Belimbing Sayur https://t.co/Aqg1uklXqP,kualitas prabowo dan gibran rendah rakyat jangan mau dipermainkan belimbing sayur,"['kualitas', 'prabowo', 'dan', 'gibran', 'rendah', 'rakyat', 'jangan', 'mau', 'dipermainkan', 'belimbing', 'sayur']","['kualitas', 'prabowo', 'gibran', 'rendah', 'rakyat', 'jangan', 'mau', 'dipermainkan', 'belimbing', 'sayur']","['kualitas', 'prabowo', 'gibran', 'rendah', 'rakyat', 'jangan', 'mau', 'main', 'belimbing', 'sayur']",kualitas prabowo gibran rendah rakyat jangan mau main belimbing sayur,negatif
Prabowo - Gibran  jangan seperti penjual obat palsu yang cuma bikin gebrakan iklan tapi nol prestasi @batara_muhlis  https://t.co/JoFxHfnQvQ,prabowo gibran jangan seperti penjual obat palsu yang cuma bikin gebrakan iklan tapi nol prestasi,"['prabowo', 'gibran', 'jangan', 'seperti', 'penjual', 'obat', 'palsu', 'yang', 'cuma', 'bikin', 'gebrakan', 'iklan', 'tapi', 'nol', 'prestasi']","['prabowo', 'gibran', 'jangan', 'penjual', 'obat', 'palsu', 'cuma', 'bikin', 'gebrakan', 'iklan', 'nol', 'prestasi']","['prabowo', 'gibran', 'jangan', 'jual', 'obat', 'palsu', 'cuma', 'bikin', 'gebrak', 'iklan', 'nol', 'prestasi']",prabowo gibran jangan jual obat palsu cuma bikin gebrak iklan nol prestasi,negatif
Rakyat Jawa Tengah takkan lupa bahwa kejujuran lebih berharga daripada trik politik Prabowo - Gibran @Faceless_vo1d  https://t.co/f9DmqoSdRj,rakyat jawa tengah takkan lupa bahwa kejujuran lebih berharga daripada trik politik prabowo gibran,"['rakyat', 'jawa', 'tengah', 'takkan', 'lupa', 'bahwa', 'kejujuran', 'lebih', 'berharga', 'daripada', 'trik', 'politik', 'prabowo', 'gibran']","['rakyat', 'jawa', 'tengah', 'takkan', 'lupa', 'kejujuran', 'lebih', 'berharga', 'trik', 'politik', 'prabowo', 'gibran']","['rakyat', 'jawa', 'tengah', 'tak', 'lupa', 'jujur', 'lebih', 'harga', 'trik', 'politik', 'prabowo', 'gibran']",rakyat jawa tengah tak lupa jujur lebih harga trik politik prabowo gibran,negatif
Sinar harapan dari mantan kades  bersama Prabowo-Gibran  kita bisa mencapai kejayaan yang lebih tinggi!   #Parlemen404 PurnaKuwu DukungPragibs https://t.co/GLuMltflqV,sinar harapan dari mantan kades bersama prabowogibran kita bisa mencapai kejayaan yang lebih tinggi purnakuwu dukungpragibs,"['sinar', 'harapan', 'dari', 'mantan', 'kades', 'bersama', 'prabowogibran', 'kita', 'bisa', 'mencapai', 'kejayaan', 'yang', 'lebih', 'tinggi', 'purnakuwu', 'dukungpragibs']","['sinar', 'harapan', 'mantan', 'kades', 'bersama', 'prabowogibran', 'mencapai', 'kejayaan', 'lebih', 'tinggi', 'purnakuwu', 'dukungpragibs']","['sinar', 'harap', 'mantan', 'kades', 'sama', 'prabowogibran', 'capai', 'jaya', 'lebih', 'tinggi', 'purnakuwu', 'dukungpragibs']",sinar harap mantan kades sama prabowogibran capai jaya lebih tinggi purnakuwu dukungpragibs,negatif
Ganjar - Mahfud  pasangan yang diinginkan rakyat Jawa Tengah  bukan drama politik yang dijual oleh Prabowo - Gibran @AbdulHarist  https://t.co/MhzTpsxlNV,ganjar mahfud pasangan yang diinginkan rakyat jawa tengah bukan drama politik yang dijual oleh prabowo gibran,"['ganjar', 'mahfud', 'pasangan', 'yang', 'diinginkan', 'rakyat', 'jawa', 'tengah', 'bukan', 'drama', 'politik', 'yang', 'dijual', 'oleh', 'prabowo', 'gibran']","['ganjar', 'mahfud', 'pasangan', 'diinginkan', 'rakyat', 'jawa', 'tengah', 'bukan', 'drama', 'politik', 'dijual', 'prabowo', 'gibran']","['ganjar', 'mahfud', 'pasang', 'ingin', 'rakyat', 'jawa', 'tengah', 'bukan', 'drama', 'politik', 'jual', 'prabowo', 'gibran']",ganjar mahfud pasang ingin rakyat jawa tengah bukan drama politik jual prabowo gibran,negatif
Suara persetujuan dari pemimpin  Prabowo-Gibran diakui sebagai penjaga keamanan utama.   #Parlemen404 PurnaKuwu DukungPragibs https://t.co/svkXfuNSlw,suara persetujuan dari pemimpin prabowogibran diakui sebagai penjaga keamanan utama purnakuwu dukungpragibs,"['suara', 'persetujuan', 'dari', 'pemimpin', 'prabowogibran', 'diakui', 'sebagai', 'penjaga', 'keamanan', 'utama', 'purnakuwu', 'dukungpragibs']","['suara', 'persetujuan', 'pemimpin', 'prabowogibran', 'diakui', 'penjaga', 'keamanan', 'utama', 'purnakuwu', 'dukungpragibs']","['suara', 'tuju', 'pimpin', 'prabowogibran', 'aku', 'jaga', 'aman', 'utama', 'purnakuwu', 'dukungpragibs']",suara tuju pimpin prabowogibran aku jaga aman utama purnakuwu dukungpragibs,negatif
